Distance (cm),Pressure (atm),Density (g/cm3),G_factor (g/cm3-s),F_factor (g/cm2-sec),Temperature (K),Radial_velocity (1/s),Axial_velocity (cm/sec),Pressure_gradient (g/cm3-s2),Mole_fraction_H2 (),Mole_fraction_H (),Mole_fraction_O (),Mole_fraction_O2 (),Mole_fraction_OH (),Mole_fraction_H2O (),Mole_fraction_HO2 (),Mole_fraction_H2O2 (),Mole_fraction_C (),Mole_fraction_CH (),Mole_fraction_CH2 (),Mole_fraction_CH2(S) (),Mole_fraction_CH3 (),Mole_fraction_CH4 (),Mole_fraction_CO (),Mole_fraction_CO2 (),Mole_fraction_HCO (),Mole_fraction_CH2O (),Mole_fraction_CH2OH (),Mole_fraction_CH3O (),Mole_fraction_CH3OH (),Mole_fraction_C2H (),Mole_fraction_C2H2 (),Mole_fraction_C2H3 (),Mole_fraction_C2H4 (),Mole_fraction_C2H5 (),Mole_fraction_C2H6 (),Mole_fraction_HCCO (),Mole_fraction_CH2CO (),Mole_fraction_HCCOH (),Mole_fraction_N (),Mole_fraction_NH (),Mole_fraction_NH2 (),Mole_fraction_NH3 (),Mole_fraction_NO (),Mole_fraction_NO2 (),Mole_fraction_N2O (),Mole_fraction_HNO (),Mole_fraction_HCN (),Mole_fraction_HCNO (),Mole_fraction_HNCO (),Mole_fraction_NCO (),Mole_fraction_N2 (),Mole_fraction_C3H7 (),Mole_fraction_C3H8 (),Mole_fraction_CH2CHO (),Mole_fraction_CH3CHO (),Molecular_weight (g/mole),Mass_density (g/cm3),Specific_heat_Cp (erg/g-K),Mixture_enthalpy (erg/g),Normal_strain_rate (1/sec),Shear_strain_rate (1/cm-sec),Mixture_viscosity (g/cm-sec),Mixture_thermal_conductivity (erg/cm-K-sec),Mixture_binary_diffusion_coefficients_H2 (cm2/sec),Mixture_binary_diffusion_coefficients_H (cm2/sec),Mixture_binary_diffusion_coefficients_O (cm2/sec),Mixture_binary_diffusion_coefficients_O2 (cm2/sec),Mixture_binary_diffusion_coefficients_OH (cm2/sec),Mixture_binary_diffusion_coefficients_H2O (cm2/sec),Mixture_binary_diffusion_coefficients_HO2 (cm2/sec),Mixture_binary_diffusion_coefficients_H2O2 (cm2/sec),Mixture_binary_diffusion_coefficients_C (cm2/sec),Mixture_binary_diffusion_coefficients_CH (cm2/sec),Mixture_binary_diffusion_coefficients_CH2 (cm2/sec),Mixture_binary_diffusion_coefficients_CH2(S) (cm2/sec),Mixture_binary_diffusion_coefficients_CH3 (cm2/sec),Mixture_binary_diffusion_coefficients_CH4 (cm2/sec),Mixture_binary_diffusion_coefficients_CO (cm2/sec),Mixture_binary_diffusion_coefficients_CO2 (cm2/sec),Mixture_binary_diffusion_coefficients_HCO (cm2/sec),Mixture_binary_diffusion_coefficients_CH2O (cm2/sec),Mixture_binary_diffusion_coefficients_CH2OH (cm2/sec),Mixture_binary_diffusion_coefficients_CH3O (cm2/sec),Mixture_binary_diffusion_coefficients_CH3OH (cm2/sec),Mixture_binary_diffusion_coefficients_C2H (cm2/sec),Mixture_binary_diffusion_coefficients_C2H2 (cm2/sec),Mixture_binary_diffusion_coefficients_C2H3 (cm2/sec),Mixture_binary_diffusion_coefficients_C2H4 (cm2/sec),Mixture_binary_diffusion_coefficients_C2H5 (cm2/sec),Mixture_binary_diffusion_coefficients_C2H6 (cm2/sec),Mixture_binary_diffusion_coefficients_HCCO (cm2/sec),Mixture_binary_diffusion_coefficients_CH2CO (cm2/sec),Mixture_binary_diffusion_coefficients_HCCOH (cm2/sec),Mixture_binary_diffusion_coefficients_N (cm2/sec),Mixture_binary_diffusion_coefficients_NH (cm2/sec),Mixture_binary_diffusion_coefficients_NH2 (cm2/sec),Mixture_binary_diffusion_coefficients_NH3 (cm2/sec),Mixture_binary_diffusion_coefficients_NNH (cm2/sec),Mixture_binary_diffusion_coefficients_NO (cm2/sec),Mixture_binary_diffusion_coefficients_NO2 (cm2/sec),Mixture_binary_diffusion_coefficients_N2O (cm2/sec),Mixture_binary_diffusion_coefficients_HNO (cm2/sec),Mixture_binary_diffusion_coefficients_CN (cm2/sec),Mixture_binary_diffusion_coefficients_HCN (cm2/sec),Mixture_binary_diffusion_coefficients_H2CN (cm2/sec),Mixture_binary_diffusion_coefficients_HCNN (cm2/sec),Mixture_binary_diffusion_coefficients_HCNO (cm2/sec),Mixture_binary_diffusion_coefficients_HOCN (cm2/sec),Mixture_binary_diffusion_coefficients_HNCO (cm2/sec),Mixture_binary_diffusion_coefficients_NCO (cm2/sec),Mixture_binary_diffusion_coefficients_N2 (cm2/sec),Mixture_binary_diffusion_coefficients_AR (cm2/sec),Mixture_binary_diffusion_coefficients_C3H7 (cm2/sec),Mixture_binary_diffusion_coefficients_C3H8 (cm2/sec),Mixture_binary_diffusion_coefficients_CH2CHO (cm2/sec),Mixture_binary_diffusion_coefficients_CH3CHO (cm2/sec),Net_rxn_rate_GasRxn#1 (mole/cm3-sec),Forward_rxn_rate_GasRxn#1 (mole/cm3-sec),Reverse_rxn_rate_GasRxn#1 (mole/cm3-sec),Net_rxn_rate_GasRxn#2 (mole/cm3-sec),Forward_rxn_rate_GasRxn#2 (mole/cm3-sec),Reverse_rxn_rate_GasRxn#2 (mole/cm3-sec),Net_rxn_rate_GasRxn#3 (mole/cm3-sec),Forward_rxn_rate_GasRxn#3 (mole/cm3-sec),Reverse_rxn_rate_GasRxn#3 (mole/cm3-sec),Net_rxn_rate_GasRxn#4 (mole/cm3-sec),Forward_rxn_rate_GasRxn#4 (mole/cm3-sec),Reverse_rxn_rate_GasRxn#4 (mole/cm3-sec)
0.0,0.9999997,0.001130053,0.0,0.05650264,298.0,0.0,100.0,-1.179859,8.280388E-33,-4.578949E-55,4.112898E-50,0.1900599,1.18415E-50,1.974023E-49,6.468532E-39,1.217978E-52,-3.810252E-160,1.797972E-108,3.296598E-56,2.060492E-57,6.995102E-39,0.09502993,5.652165E-52,-1.682704E-53,9.639353E-78,1.414209E-49,3.32666E-90,6.573714E-57,1.504257E-61,2.765965E-132,2.422086E-73,1.968603E-118,1.157719E-73,1.515479E-78,2.623377E-69,1.090608E-118,5.762981E-81,3.15048E-84,6.688261E-68,4.163134E-101,1.394137E-56,1.493181E-67,8.202287E-67,7.717627E-73,2.267344E-62,2.235928E-70,1.101432E-77,1.34931E-78,1.341059E-77,4.619486E-80,0.7149102,5.250949E-91,1.606055E-87,5.970051E-117,1.414372E-81,27.63332,0.001130053,1.076873E7,-2.566699E9,-1.300783,10.40626,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,-3.292095E-81,5.101335E-98,3.292095E-81,-2.366413E-102,-2.366413E-102,9.79104E-119,2.708504E-84,2.708504E-84,-5.200186E-106,8.806271E-84,8.898463E-84,9.219157E-86
0.125,0.9999997,0.001130053,-0.001469953,0.05641077,298.0,1.300783,99.8374,-1.179859,1.394794E-31,-5.158799E-54,1.624112E-48,0.1900599,4.764884E-49,1.123979E-47,3.971111E-37,7.527109E-51,-1.588242E-158,6.64244E-107,1.832641E-54,1.145467E-55,3.976403E-37,0.09502993,3.476422E-50,-1.358311E-51,7.825301E-76,1.157416E-47,2.741406E-88,5.417211E-55,1.252979E-59,2.092842E-130,1.851198E-71,1.518976E-116,9.191092E-72,1.294707E-76,2.259433E-67,5.528435E-117,5.455885E-79,2.982599E-82,2.935239E-66,1.56193E-99,5.338759E-55,8.715143E-66,5.084198E-65,5.648292E-71,1.846084E-60,1.383019E-68,9.151514E-76,1.093867E-76,1.087178E-75,3.727812E-78,0.7149102,5.81021E-89,1.784995E-85,5.677989E-115,1.351154E-79,27.63332,0.001130053,1.076873E7,-2.566699E9,-3.896066,10.356,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,-3.292095E-81,7.954626E-95,3.292095E-81,-1.052789E-99,-1.052789E-99,3.939804E-117,1.801593E-81,1.801593E-81,-2.357477E-103,2.156823E-80,2.157194E-80,3.709685E-84
0.25,0.9999997,0.001130053,-0.002932807,0.0561356,298.0,2.595283,99.35039,-1.179859,2.346086E-30,-2.092894E-52,3.047542E-47,0.1900599,9.709709E-49,3.210258E-47,7.896905E-37,2.220972E-50,-9.779616E-154,1.002392E-103,-5.861466E-53,-1.550074E-54,7.902241E-37,0.09502993,-2.829153E-48,-4.679115E-49,2.308417E-75,3.414523E-47,1.052887E-87,1.123535E-54,3.81621E-59,3.260038E-128,1.412628E-69,2.392104E-114,7.284016E-70,5.204341E-76,1.095011E-66,7.573745E-114,5.156932E-77,2.819168E-80,1.847198E-64,8.760715E-97,2.041291E-53,5.078716E-64,3.066707E-63,4.127271E-69,3.654576E-59,8.541352E-67,7.591689E-74,8.853769E-75,8.799629E-74,3.003481E-76,0.7149102,6.418772E-87,1.980704E-83,8.955228E-113,1.288708E-77,27.63332,0.001130053,1.076873E7,-2.566699E9,-6.478842,10.30621,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,-3.292095E-81,2.800834E-92,3.292095E-81,-8.01445E-97,-8.01445E-97,8.02839E-117,5.686231E-79,5.686231E-79,-1.948947E-101,8.049407E-79,8.049482E-79,7.559461E-84
0.375,0.9999997,0.001130053,-0.004388627,0.05567801,298.0,3.88356,98.54054,-1.179859,3.928825E-29,-1.094748E-51,1.509845E-46,0.1900599,1.483154E-48,5.591018E-47,1.185519E-36,4.437566E-50,-2.033846E-150,2.27585E-102,-9.571172E-52,3.669748E-53,1.186059E-36,0.09502993,-3.157237E-47,1.030152E-48,4.542042E-75,6.803852E-47,1.725852E-87,1.714122E-54,7.750763E-59,1.822772E-126,1.072817E-67,2.832022E-112,5.745955E-68,1.190357E-75,3.058668E-66,4.813958E-112,4.851001E-75,2.651924E-78,1.16426E-62,1.40407E-94,7.76852E-52,2.945577E-62,1.837901E-61,3.001468E-67,-2.415407E-58,5.249996E-65,6.267623E-72,7.132008E-73,7.088396E-72,2.408331E-74,0.7149102,7.057005E-85,2.187311E-81,1.054472E-110,1.223256E-75,27.63332,0.001130053,1.076873E7,-2.566699E9,-9.049212,10.25674,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,-3.292095E-81,6.874682E-91,3.292095E-81,-2.076937E-95,-2.076937E-95,1.226333E-116,4.717652E-77,4.717652E-77,-1.557209E-100,5.986892E-78,5.986904E-78,1.154705E-83
0.5,0.9999997,0.001130053,-0.00583746,0.05503887,298.0,5.165652,97.40939,-1.179859,6.530195E-28,-3.355669E-50,4.923262E-45,0.1900599,1.326912E-47,5.199313E-46,1.585969E-36,7.433605E-50,-5.236619E-146,-2.33597E-98,9.968344E-51,4.229878E-52,1.586518E-36,0.09502993,3.362279E-46,3.117671E-47,6.423124E-75,1.098108E-46,6.350603E-87,2.311961E-54,1.311397E-58,2.958796E-123,8.082294E-66,2.96422E-110,4.49642E-66,2.150586E-75,6.630624E-66,-1.108685E-110,4.526579E-73,2.47457E-76,7.298472E-61,2.185678E-91,2.933248E-50,1.694801E-60,1.090866E-59,2.165303E-65,3.444692E-57,3.201241E-63,5.133026E-70,5.699059E-71,5.664209E-70,1.915647E-72,0.7149102,7.696263E-83,2.39603E-79,1.406442E-108,1.151803E-73,27.63332,0.001130053,1.076873E7,-2.566699E9,-11.60723,10.20738,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,-3.292094E-81,7.309602E-88,3.292095E-81,-2.075911E-92,-2.075911E-92,1.097146E-115,2.556877E-74,2.556877E-74,-4.270393E-98,2.611613E-76,2.611614E-76,1.033063E-82
0.625,0.9999997,0.001130053,-0.00727932,0.05421908,298.0,6.441575,95.95848,-1.179859,1.073912E-26,5.438242E-49,3.356052E-44,0.1900599,5.876385E-49,7.364235E-45,1.992503E-36,1.1252E-49,1.518695E-143,4.851174E-99,-6.298372E-50,-4.958425E-51,1.993063E-36,0.09502993,-4.71054E-46,-9.540145E-47,9.223369E-75,1.50681E-46,2.128067E-85,2.918918E-54,1.998395E-58,1.152948E-120,6.020278E-64,2.880649E-108,3.478894E-64,3.416102E-75,1.45424E-65,4.99776E-107,4.176042E-71,2.28294E-74,4.540128E-59,-1.075167E-88,1.095263E-48,9.64199E-59,6.389096E-58,1.544473E-63,-1.190861E-56,1.930062E-61,4.156328E-68,4.502588E-69,4.475055E-68,1.506547E-70,0.7149102,8.298226E-81,2.594893E-77,3.386582E-106,1.072247E-71,27.63332,0.001130053,1.076873E7,-2.566699E9,-14.15254,10.15508,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,-3.292061E-81,3.396606E-86,3.292095E-81,2.293316E-90,2.293316E-90,4.858839E-117,2.866344E-72,2.866344E-72,3.064892E-98,2.236603E-75,2.236603E-75,4.57504E-84
0.75,0.9999997,0.001130053,-0.008713793,0.05321951,298.0,7.710961,94.18942,-1.179859,1.741762E-25,1.006967E-47,6.071717E-43,0.1900599,9.788827E-46,5.820632E-44,2.406778E-36,1.595567E-49,-1.867797E-139,-6.802072E-95,2.894467E-48,-8.441658E-51,2.407357E-36,0.09502993,4.230423E-44,9.398941E-45,2.198719E-73,-1.128554E-45,5.264437E-84,3.537444E-54,2.84725E-58,4.131411E-117,4.418658E-62,2.655617E-106,2.652183E-62,5.007073E-75,2.081484E-64,2.519753E-104,3.796037E-69,2.0752E-72,2.796222E-57,6.280967E-86,4.030777E-47,5.405556E-57,3.678379E-56,1.085522E-61,6.298301E-55,1.146679E-59,3.316113E-66,3.505153E-67,3.483719E-66,1.167445E-68,0.7149102,8.815536E-79,2.768883E-75,5.610547E-105,9.835155E-70,27.63332,0.001130053,1.076873E7,-2.566699E9,-17.85427,9.729388,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,-3.280977E-81,1.11176E-83,3.292095E-81,7.682517E-88,7.682517E-88,8.093808E-114,8.410682E-70,8.410682E-70,9.453495E-94,4.887748E-74,4.887749E-74,7.621059E-81
1.0,0.9999997,0.001130053,-0.01146247,0.05069747,298.0,10.14331,89.72585,-1.179859,7.818399E-24,-7.474225E-47,6.419905E-41,0.1900599,8.714495E-44,3.33729E-42,3.27658E-36,2.938534E-49,8.457701E-136,-6.580214E-93,8.910913E-47,1.142579E-48,3.277201E-36,0.09502993,4.775206E-42,6.293435E-43,2.241415E-71,1.969797E-43,3.661895E-82,4.836104E-54,5.282603E-58,7.056736E-114,9.421008E-60,7.996243E-104,5.876508E-60,9.349418E-75,4.514972E-62,5.299433E-101,1.005006E-66,5.494121E-70,5.019885E-55,6.008196E-82,4.251027E-45,8.766291E-55,6.109723E-54,2.214971E-59,1.625471E-52,1.972658E-57,7.694068E-64,7.932742E-65,7.884234E-64,2.629879E-66,0.7149102,2.731958E-76,8.619249E-73,6.13601E-99,2.627745E-67,27.63332,0.001130053,1.076873E7,-2.566699E9,-22.67561,9.555966,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,1.210005E-79,1.242926E-79,3.292095E-81,-6.029364E-85,-6.029364E-85,7.205506E-112,3.991878E-66,3.991878E-66,-6.246761E-91,7.035754E-72,7.035755E-72,6.784641E-79
1.25,0.9999997,0.001130053,-0.01416216,0.04749439,298.0,12.5323,84.05695,-1.179859,2.328131E-22,-6.697469E-45,1.112198E-39,0.1900599,-1.567973E-42,-8.220669E-41,4.204789E-36,4.852658E-49,1.192882E-130,-2.203351E-88,-4.42956E-46,-1.576165E-46,4.205184E-36,0.09502993,-1.294102E-40,-2.254173E-41,-1.347431E-69,-1.589508E-41,-8.210294E-81,6.221918E-54,8.904441E-58,-1.229791E-109,1.288047E-57,-2.539662E-102,8.346532E-58,1.545004E-74,6.950458E-60,2.254286E-97,1.703042E-64,9.310113E-68,7.779829E-53,9.448622E-79,2.902657E-43,9.143578E-53,6.222225E-52,2.899417E-57,2.670788E-51,2.181178E-55,1.143862E-61,1.150607E-62,1.143571E-61,3.797E-64,0.7149102,5.412878E-74,1.715341E-70,-3.809488E-97,4.493383E-65,27.63332,0.001130053,1.076873E7,-2.566699E9,-26.30936,9.958124,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,3.730044E-77,3.730373E-77,3.292095E-81,-9.359864E-82,-9.359864E-82,-1.296465E-110,2.059304E-63,2.059304E-63,1.007153E-87,1.564184E-70,1.564183E-70,-1.22074E-77
1.375,0.9999997,0.001130053,-0.01556881,0.04563621,298.0,13.77706,80.76828,-1.179859,2.592745E-21,1.302422E-43,-1.618403E-39,0.1900599,-2.434109E-41,-1.331897E-40,4.687136E-36,8.94E-49,-6.978213E-128,1.69853E-86,4.292788E-45,-1.544952E-52,4.687088E-36,0.09502993,-8.360768E-40,-3.740443E-40,-6.740277E-69,-1.713397E-40,6.655236E-80,6.939339E-54,2.567225E-57,6.611479E-107,6.272992E-56,-9.097394E-99,4.220632E-56,1.91982E-74,3.809823E-58,-2.093392E-94,1.025256E-62,5.604823E-66,4.436786E-51,2.120048E-76,7.157873E-42,3.411811E-51,2.144597E-50,1.352784E-55,-1.836425E-50,8.619002E-54,6.050879E-60,5.94012E-61,5.903797E-60,1.951356E-62,0.7149102,3.803918E-72,1.210771E-68,3.252288E-93,2.729418E-63,27.63332,0.001130053,1.076873E7,-2.566699E9,-28.79219,9.904515,1.795704E-4,2698.253,0.7889151,1.217572,0.3247744,0.2011395,0.3185617,0.2234597,0.2069837,0.2055919,0.3072506,0.3477624,0.2289717,0.2289717,0.2238317,0.2324037,0.206591,0.1567951,0.1558977,0.1546227,0.1535492,0.1535492,0.1518916,0.1674165,0.1657168,0.1641279,0.1594598,0.1480478,0.1468396,0.251553,0.1334454,0.1334454,0.2914675,0.3422957,0.3351713,0.217898,0.2051577,0.204968,0.1731616,0.1554329,0.2054084,0.2062707,0.1522767,0.1508938,0.2515495,0.156116,0.156116,0.156116,0.156843,0.2046006,0.1988901,0.1139984,0.1134903,0.1328263,0.1322327,7.898477E-77,7.898807E-77,3.292095E-81,-2.648593E-80,-2.648593E-80,-2.012623E-109,-3.337162E-62,-3.337162E-62,-3.040454E-85,-2.537203E-70,-2.537205E-70,-1.895068E-76
